redistribution,final_entropy,final_m2,final_c,D_H,D_C,D_M2_raw,max_mass_error,min_component
uniform,0.999999999999999,0.24999999999999822,-2.3684757858670005e-15,0.017023527010787336,0.015568598453752951,3.009498029594675,3.885780586188048e-15,0.1
proportional,0.9999999999999993,0.24999999999999875,-1.6653345369377348e-15,0.01702352701078814,0.015568598453752662,3.009498029594674,2.886579864025407e-15,0.1
