scenario,final_entropy,final_m2,final_c,D_H,D_C,D_M2_raw,max_mass_error,min_component
Canonical comparison,1.0000000000000002,0.2500000000000001,1.4802973661668753e-16,0.9911660825388063,0.8598408175536417,3.512949655773749,8.881784197001252e-16,0.09089982928499875
Conservative contact,1.0,0.25,0.0,0.01550039140516184,0.013542723968983978,3.0058421908243345,2.220446049250313e-16,0.1
Moderate contact,0.999999999999999,0.24999999999999822,-2.3684757858670005e-15,0.017023527010787336,0.015568598453752951,3.009498029594675,3.885780586188048e-15,0.1
Strong contact,1.0000000000000244,0.25000000000004385,5.847174596359157e-14,0.1747412602757156,0.14354769368637793,3.069089798002059,1.1723955140041653e-13,0.14676763669099085
No contact,0.9999999973741177,0.25000000182011556,2.42682074436118e-09,0.0,0.0,0.0,2.220446049250313e-16,0.1
