variant,final_entropy,final_m2,final_c,D_H,D_C,D_M2_raw,max_mass_error,min_component
No contact baseline,0.9999999973741177,0.25000000182011556,2.42682074436118e-09,0.0,0.0,0.0,2.220446049250313e-16,0.1
q-shock only,1.0000000000000002,0.25000000000000056,7.401486830834377e-16,0.018608572305436027,0.01712349321051184,0.01284261990788388,8.215650382226158e-15,0.1
G5-injection only,0.9999999987027234,0.25000000089920105,1.198934729274015e-09,0.026001730454001826,0.0188559802757762,2.983861024507828,2.220446049250313e-16,0.1
Combined contact,0.999999999999999,0.24999999999999822,-2.3684757858670005e-15,0.017023527010787336,0.015568598453752951,3.009498029594675,3.885780586188048e-15,0.1
